Timestamp (ms),Pressure (PSI),Trigger
16,14.19,0
32,14.19,0
50,14.19,0
66,14.19,0
83,14.19,0
100,14.19,0
116,14.19,0
134,14.19,0
150,14.19,0
167,14.19,0
184,14.19,0
200,14.19,0
218,14.19,0
234,14.19,0
251,14.19,0
268,14.19,0
285,14.19,0
302,14.19,0
318,14.19,0
335,14.19,0
352,14.19,0
369,14.19,0
386,14.19,0
402,14.19,0
419,14.19,0
436,14.19,0
453,14.19,0
470,14.19,0
487,14.19,0
503,14.19,0
520,14.19,0
537,14.19,0
553,14.19,0
571,14.19,0
587,14.19,0
605,14.19,0
621,14.19,0
637,14.19,0
655,14.19,0
671,14.19,0
689,14.19,0
705,14.19,0
721,14.19,0
739,14.19,0
755,14.19,0
773,14.19,0
789,14.19,0
806,14.19,0
823,14.19,0
839,14.19,0
857,14.19,0
873,14.19,0
890,14.19,0
907,14.19,0
923,14.19,0
941,14.19,0
957,14.19,0
974,14.19,0
991,14.19,0
1008,14.19,0
1025,14.19,0
1042,14.19,0
1058,14.19,0
1075,14.19,0
1092,14.19,0
1108,14.19,0
1126,14.19,0
1142,14.19,0
1160,14.19,0
1176,14.19,0
1193,14.19,0
1210,14.19,0
1227,14.19,0
1244,14.19,0
1261,14.19,0
1277,14.19,0
1294,14.19,0
1311,14.19,0
1328,14.19,0
1345,14.19,0
1361,14.19,0
1379,14.19,0
1395,14.19,0
1413,14.19,0
1429,14.19,0
1446,14.19,0
1463,14.19,0
1480,14.19,0
1497,14.19,0
1513,14.19,0
1530,14.19,0
1547,14.19,0
1564,14.19,0
1581,14.19,0
1598,14.19,0
1614,14.19,0
1632,14.19,0
1648,14.19,0
1666,14.19,0
1682,14.19,0
1699,14.19,0
1716,14.19,0
1732,14.19,0
1750,14.19,0
1766,14.19,0
1783,14.19,0
1800,14.19,0
1817,14.19,0
1833,14.19,0
1851,14.19,0
1867,14.19,0
1885,14.19,0
1901,14.19,0
1918,14.19,0
1935,14.19,0
1951,14.19,0
1969,14.19,0
1985,14.19,0
2002,14.19,0
2019,14.19,0
2036,14.19,0
2053,14.19,0
2070,14.19,0
2086,14.19,0
2104,14.19,0
2120,14.19,0
2138,14.19,0
2154,14.19,0
2170,14.19,0
2188,14.19,0
2204,14.19,0
2222,14.19,0
2238,14.19,0
2255,14.19,0
2272,14.19,0
2289,14.19,0
2306,14.19,0
2323,14.19,0
2339,14.19,0
2357,14.19,0
2373,14.19,0
2390,14.19,0
2407,14.19,0
2423,14.19,0
2441,14.19,0
2457,14.19,0
2475,14.19,0
2491,14.19,0
2508,14.19,0
2525,14.19,0
2542,14.19,0
2558,14.19,0
2576,14.19,0
2592,14.19,0
2609,14.19,0
2626,14.19,0
2642,14.19,0
2660,14.19,0
2676,14.19,0
2694,14.19,0
2710,14.19,0
2727,14.19,0
